nohup: ignoring input
==== Stage 1: forget_inc={0,8,11,40,51}; forget_seen={}; all={0,8,11,40,51,66,67,88,94,57} ====
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Namespace(in_dataset='CIFAR-100', out_datasets=['inat', 'sun50', 'places50', 'dtd'], backbone='resnet34', method='top5-palm-cache6-ema0.999', seed=1, gpu='0', epochs=50, batch_size=128, lr=0.001, weight_decay=0.0001, print_every=50, fine_tune=False, temp=0.08, cosine=True, warm=False, lr_decay_epochs='700,800,900', lr_decay_rate=0.1, layers=100, depth=40, width=4, growth=12, droprate=0.0, save_path='CIFAR-10-ResNet18.pt', load_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt', reduce=0.5, score='mahalanobis', threshold=1.0, k=5, momentum=0.9, proto_m=0.999, cache_size=6, nviews=2, lambda_pcon=1.0, epsilon=0.05, incremental=False, use_lora=True, lora_impl='peft', lora_r=8, lora_alpha=32, lora_dropout=0.05, lora_target='both', adapter_save_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-stack/stage1', adapter_load_path=None, adapter_load_paths=None, lora_new_adapter_name='train_s1', lora_stack=True, lora_orth_enable=True, lora_orth_lambda=0.1, forget_classes='0,8,11,40,51,66,67,88,94,57', forget_list_path=None, forget_classes_inc='0,8,11,40,51', forget_classes_seen=None, forget_lambda=0.2, forget_margin=100.0, forget_strategy='proto', centers_path=None, precision_path=None, batch_forget_mode='balanced', forget_proto_enable=False, forget_attr_w=1.0, forget_proto_rep_w=1.0, forget_avgproto_enable=True, forget_avgproto_w=1.0, umap_enable=False, umap_by='domain', umap_max_points=20000, umap_neighbors=15, umap_min_dist=0.05, umap_metric='cosine', umap_save_path=None, umap_rf_only=False, keep_cache=False, argument=True)
Files already downloaded and verified
ckpt loaded from checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt
[peft] added trainable adapter 'train_s1'
[peft] set_adapter(list) failed: unhashable type: 'list'; fallback to last adapter
[peft] active adapter set to: train_s1
resnet34-top5-palm-cache6-ema0.999: Number of model parameters: 22082496
[debug] trainable_count = 16
[debug] trainable: base_model.model.encoder.layer4.0.conv1.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv1.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv2.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv2.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.shortcut.0.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.shortcut.0.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv1.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv1.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv2.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv2.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv1.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv1.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv2.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv2.lora_B.train_s1.weight
[debug] trainable: base_model.model.head.2.lora_A.train_s1.weight
[debug] trainable: base_model.model.head.2.lora_B.train_s1.weight
[debug][warn] non-LoRA trainables detected: ['base_model.model.encoder.layer4.0.conv1.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.0.conv1.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.0.conv2.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.0.conv2.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.0.shortcut.0.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.0.shortcut.0.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.1.conv1.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.1.conv1.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.1.conv2.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.1.conv2.lora_B.train_s1.weight']
[loss] ep 2 it 320 total=7.0207 mle=1.8697 pcon=5.2118 forget=1.5085 favg=-1.5693 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 2 it 370 total=7.6705 mle=2.7148 pcon=5.2078 forget=1.5369 favg=-1.7891 nr=29 nf=29 protos=570 fproto_sim=NA
[peft] adapter saved to checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-stack/stage1
[loss] ep 3 it 30 total=6.8650 mle=1.9169 pcon=5.2038 forget=1.5783 favg=-1.8340 nr=28 nf=28 protos=570 fproto_sim=NA
[loss] ep 3 it 80 total=7.0406 mle=2.1739 pcon=5.2000 forget=1.6149 favg=-1.9482 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 3 it 130 total=6.6183 mle=1.7596 pcon=5.1958 forget=1.5750 favg=-1.9121 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 3 it 180 total=6.6713 mle=1.7972 pcon=5.1920 forget=1.6177 favg=-1.9355 nr=41 nf=41 protos=570 fproto_sim=NA
[loss] ep 3 it 230 total=6.6653 mle=1.8364 pcon=5.1882 forget=1.6095 favg=-1.9688 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 3 it 280 total=6.6517 mle=1.8415 pcon=5.1846 forget=1.6177 favg=-1.9922 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 3 it 330 total=6.8401 mle=2.0207 pcon=5.1808 forget=1.6523 favg=-2.0137 nr=25 nf=25 protos=570 fproto_sim=NA
[loss] ep 3 it 380 total=6.5065 mle=1.6879 pcon=5.1770 forget=1.6728 favg=-2.0312 nr=29 nf=29 protos=570 fproto_sim=NA
[peft] adapter saved to checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-stack/stage1
[loss] ep 4 it 40 total=6.6729 mle=1.6888 pcon=5.1736 forget=1.6669 favg=-1.8564 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 4 it 90 total=6.7677 mle=1.6670 pcon=5.1702 forget=1.6981 favg=-1.7676 nr=41 nf=41 protos=570 fproto_sim=NA
[loss] ep 4 it 140 total=7.4931 mle=2.1385 pcon=5.1667 forget=1.7573 favg=-1.5693 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 4 it 190 total=8.7586 mle=2.6561 pcon=5.1632 forget=1.7782 favg=-0.8389 nr=25 nf=25 protos=570 fproto_sim=NA
[loss] ep 4 it 240 total=9.6685 mle=1.9578 pcon=5.1596 forget=1.7888 favg=0.7622 nr=28 nf=28 protos=570 fproto_sim=NA
[loss] ep 4 it 290 total=10.8467 mle=2.1985 pcon=5.1563 forget=1.7858 favg=1.7061 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 4 it 340 total=10.4444 mle=1.7460 pcon=5.1531 forget=1.7329 favg=1.8125 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 5 it 0 total=10.8724 mle=2.2289 pcon=5.1500 forget=1.6556 favg=1.8379 nr=31 nf=31 protos=570 fproto_sim=NA
[loss] ep 5 it 50 total=9.9545 mle=1.7565 pcon=5.1469 forget=1.5228 favg=1.5283 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 5 it 100 total=9.6000 mle=1.8935 pcon=5.1442 forget=1.5018 favg=1.0605 nr=36 nf=36 protos=570 fproto_sim=NA
[loss] ep 5 it 150 total=9.2700 mle=2.0429 pcon=5.1414 forget=1.4383 favg=0.6475 nr=36 nf=36 protos=570 fproto_sim=NA
[loss] ep 5 it 200 total=9.1482 mle=2.1225 pcon=5.1389 forget=1.4988 favg=0.3879 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 5 it 250 total=8.4890 mle=1.8153 pcon=5.1367 forget=1.5199 favg=0.0172 nr=28 nf=28 protos=570 fproto_sim=NA
[loss] ep 5 it 300 total=8.2171 mle=1.7558 pcon=5.1342 forget=1.4065 favg=-0.0794 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 5 it 350 total=8.2534 mle=1.9109 pcon=5.1318 forget=1.4239 favg=-0.2133 nr=36 nf=36 protos=570 fproto_sim=NA
[loss] ep 6 it 10 total=8.8661 mle=1.9807 pcon=5.1297 forget=1.4524 favg=0.3032 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 6 it 60 total=8.5359 mle=1.8627 pcon=5.1274 forget=1.4336 favg=0.1122 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 6 it 110 total=7.8858 mle=1.7122 pcon=5.1250 forget=1.4541 favg=-0.4055 nr=40 nf=40 protos=570 fproto_sim=NA
[loss] ep 6 it 160 total=7.7190 mle=2.0026 pcon=5.1226 forget=1.4571 favg=-0.8633 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 6 it 210 total=7.8524 mle=2.5583 pcon=5.1198 forget=1.5044 favg=-1.3301 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 6 it 260 total=7.2543 mle=1.9336 pcon=5.1172 forget=1.5228 favg=-1.3193 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 6 it 310 total=7.7570 mle=1.9253 pcon=5.1145 forget=1.5868 favg=-0.8696 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 6 it 360 total=7.9366 mle=1.5198 pcon=5.1118 forget=1.5809 favg=-0.2759 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 7 it 20 total=8.5838 mle=1.6970 pcon=5.1092 forget=1.5511 favg=0.2266 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 7 it 70 total=8.9850 mle=1.9135 pcon=5.1066 forget=1.4571 favg=0.5078 nr=38 nf=38 protos=570 fproto_sim=NA
[loss] ep 7 it 120 total=9.1717 mle=1.8510 pcon=5.1042 forget=1.4329 favg=0.7837 nr=36 nf=36 protos=570 fproto_sim=NA
[loss] ep 7 it 170 total=9.9506 mle=2.3515 pcon=5.1017 forget=1.4163 favg=1.0811 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 7 it 220 total=9.5423 mle=1.7936 pcon=5.0998 forget=1.4244 favg=1.2246 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 7 it 270 total=9.5669 mle=1.8166 pcon=5.0977 forget=1.4603 favg=1.1924 nr=28 nf=28 protos=570 fproto_sim=NA
[loss] ep 7 it 320 total=8.9485 mle=1.4134 pcon=5.0956 forget=1.4258 favg=1.0137 nr=39 nf=39 protos=570 fproto_sim=NA
[loss] ep 7 it 370 total=8.5301 mle=1.7996 pcon=5.0932 forget=1.3954 favg=0.2418 nr=27 nf=27 protos=570 fproto_sim=NA
 18%|█▊        | 9/50 [08:17<38:14, 55.95s/it] 20%|██        | 10/50 [09:20<38:34, 57.86s/it] 22%|██▏       | 11/50 [10:02<34:37, 53.26s/it] 24%|██▍       | 12/50 [11:00<34:28, 54.43s/it] 26%|██▌       | 13/50 [11:58<34:17, 55.60s/it] 28%|██▊       | 14/50 [12:39<30:46, 51.28s/it] 30%|███       | 15/50 [13:19<27:55, 47.88s/it] 32%|███▏      | 16/50 [13:58<25:33, 45.11s/it][loss] ep 8 it 30 total=8.0097 mle=1.7406 pcon=5.0912 forget=1.4070 favg=-0.2291 nr=36 nf=36 protos=570 fproto_sim=NA
[loss] ep 8 it 80 total=7.5438 mle=1.7928 pcon=5.0892 forget=1.4323 favg=-0.7705 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 8 it 130 total=8.5843 mle=1.8336 pcon=5.0875 forget=1.4142 favg=0.2490 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 8 it 180 total=9.2539 mle=1.8773 pcon=5.0859 forget=1.4167 favg=0.8740 nr=37 nf=37 protos=570 fproto_sim=NA
[loss] ep 8 it 230 total=8.8982 mle=1.9257 pcon=5.0843 forget=1.4213 favg=0.4668 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 8 it 280 total=8.3020 mle=1.8937 pcon=5.0826 forget=1.3854 favg=-0.0597 nr=35 nf=35 protos=570 fproto_sim=NA
[loss] ep 8 it 330 total=7.5846 mle=1.9282 pcon=5.0805 forget=1.4392 favg=-0.8633 nr=23 nf=23 protos=570 fproto_sim=NA
[loss] ep 8 it 380 total=6.6256 mle=1.4786 pcon=5.0785 forget=1.3986 favg=-1.3301 nr=39 nf=39 protos=570 fproto_sim=NA
[loss] ep 9 it 40 total=7.0979 mle=1.8341 pcon=5.0762 forget=1.4043 favg=-1.2168 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 9 it 90 total=8.1926 mle=1.9745 pcon=5.0743 forget=1.4114 favg=-0.2676 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 9 it 140 total=9.0846 mle=1.6844 pcon=5.0722 forget=1.4403 favg=0.8877 nr=31 nf=31 protos=570 fproto_sim=NA
[loss] ep 9 it 190 total=9.5094 mle=1.8694 pcon=5.0698 forget=1.4139 favg=1.1562 nr=35 nf=35 protos=570 fproto_sim=NA
[loss] ep 9 it 240 total=9.1791 mle=1.7643 pcon=5.0678 forget=1.4252 favg=0.9219 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 9 it 290 total=8.9478 mle=1.8733 pcon=5.0657 forget=1.4301 favg=0.5786 nr=35 nf=35 protos=570 fproto_sim=NA
[loss] ep 9 it 340 total=8.1693 mle=1.6123 pcon=5.0636 forget=1.3915 favg=0.1019 nr=31 nf=31 protos=570 fproto_sim=NA
[loss] ep 10 it 0 total=7.8096 mle=1.7894 pcon=5.0618 forget=1.3802 favg=-0.4219 nr=26 nf=26 protos=570 fproto_sim=NA
[loss] ep 10 it 50 total=7.1038 mle=1.6570 pcon=5.0600 forget=1.3541 favg=-0.9673 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 10 it 100 total=6.6377 mle=1.7280 pcon=5.0578 forget=1.3646 favg=-1.5127 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 10 it 150 total=6.9420 mle=2.1180 pcon=5.0557 forget=1.3641 favg=-1.5957 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 10 it 200 total=8.3602 mle=2.0671 pcon=5.0537 forget=1.4224 favg=-0.1831 nr=31 nf=31 protos=570 fproto_sim=NA
[loss] ep 10 it 250 total=10.0197 mle=2.0527 pcon=5.0518 forget=1.4894 favg=1.4258 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 10 it 300 total=9.8113 mle=1.9178 pcon=5.0495 forget=1.4954 favg=1.3486 nr=39 nf=39 protos=570 fproto_sim=NA
[loss] ep 10 it 350 total=9.0336 mle=1.6809 pcon=5.0469 forget=1.4767 favg=0.8291 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 11 it 10 total=8.7707 mle=2.0826 pcon=5.0449 forget=1.4573 favg=0.1859 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 11 it 60 total=8.2461 mle=2.2481 pcon=5.0425 forget=1.3911 favg=-0.4355 nr=28 nf=28 protos=570 fproto_sim=NA
[loss] ep 11 it 110 total=7.4701 mle=2.0317 pcon=5.0402 forget=1.3724 favg=-0.9741 nr=28 nf=28 protos=570 fproto_sim=NA
[loss] ep 11 it 160 total=7.3605 mle=1.9208 pcon=5.0381 forget=1.4006 favg=-0.9990 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 11 it 210 total=8.3393 mle=1.8497 pcon=5.0359 forget=1.4093 favg=0.0444 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 11 it 260 total=9.2216 mle=1.4966 pcon=5.0338 forget=1.4100 favg=1.2812 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 11 it 310 total=9.3779 mle=1.5633 pcon=5.0317 forget=1.3815 favg=1.4014 nr=31 nf=31 protos=570 fproto_sim=NA
[loss] ep 11 it 360 total=8.9092 mle=1.6131 pcon=5.0294 forget=1.3800 favg=0.8867 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 12 it 20 total=8.1576 mle=1.8851 pcon=5.0267 forget=1.3915 favg=-0.1458 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 12 it 70 total=7.2165 mle=1.7113 pcon=5.0241 forget=1.3649 favg=-0.8838 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 12 it 120 total=7.2495 mle=1.7885 pcon=5.0215 forget=1.3599 favg=-0.9204 nr=31 nf=31 protos=570 fproto_sim=NA
[loss] ep 12 it 170 total=7.4529 mle=1.7381 pcon=5.0189 forget=1.3775 favg=-0.6816 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 12 it 220 total=7.9418 mle=1.6771 pcon=5.0160 forget=1.3748 favg=-0.1261 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 12 it 270 total=8.0904 mle=1.5785 pcon=5.0133 forget=1.4083 favg=0.0903 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 12 it 320 total=8.3579 mle=1.9279 pcon=5.0107 forget=1.3679 favg=0.0514 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 12 it 370 total=7.9605 mle=1.7389 pcon=5.0080 forget=1.3707 favg=-0.1570 nr=33 nf=33 protos=570 fproto_sim=NA
[loss] ep 13 it 30 total=7.9997 mle=1.6022 pcon=5.0055 forget=1.3749 favg=0.0171 nr=26 nf=26 protos=570 fproto_sim=NA
[loss] ep 13 it 80 total=8.5783 mle=1.5977 pcon=5.0030 forget=1.4166 favg=0.5610 nr=26 nf=26 protos=570 fproto_sim=NA
[loss] ep 13 it 130 total=9.0377 mle=1.8057 pcon=5.0005 forget=1.3853 favg=0.8462 nr=35 nf=35 protos=570 fproto_sim=NA
[loss] ep 13 it 180 total=8.9204 mle=1.6161 pcon=4.9982 forget=1.3930 favg=0.9131 nr=29 nf=29 protos=570 fproto_sim=NA
[loss] ep 13 it 230 total=8.5950 mle=1.5633 pcon=4.9955 forget=1.3912 favg=0.6450 nr=35 nf=35 protos=570 fproto_sim=NA
[loss] ep 13 it 280 total=8.3684 mle=1.9917 pcon=4.9929 forget=1.3970 favg=-0.0132 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 13 it 330 total=7.5003 mle=1.6539 pcon=4.9901 forget=1.3808 favg=-0.5244 nr=33 nf=33 protos=570 fproto_sim=NA
